INVENTORY_ID,PRODUCT_ID,WAREHOUSE_ID,QUANTITY_ON_HAND,REORDER_LEVEL,LAST_UPDATED
2690.52,3100.74,3433.0,4567.75,2481.56,2024-08-03
4353.66,1623.13,1022.95,196.61,1592.33,2024-08-23
3661.94,283.56,2202.48,150.37,1440.15,2024-04-10
2503.85,2517.08,180.7,1629.89,4131.9,2024-06-02
481.37,3729.11,2192.16,1538.03,4906.9,2024-06-25
4900.23,489.61,1611.85,4103.17,4782.21,2024-09-04
2668.36,199.79,2766.14,4692.92,1628.02,2024-12-16
3322.13,3235.63,1728.67,4442.99,4749.4,2024-05-18
4141.0,30.56,903.51,1612.75,1496.71,2024-08-17
4060.12,3779.07,136.82,4091.37,4488.1,2024-07-05
