DEPT_ID,DEPT_NAME,LOCATION
10,Data Science,Mumbai
20,Engineering,Bangalore
1,Finance,New Shannonport
2,Sales,Thomasborough
3,Marketing,Lake Joelton
4,HR,Laurenborough
5,HR,East Derek
6,Finance,East Christopher
7,Marketing,New Mckenzieville
8,Sales,Port Angelastad
9,IT,Suzanneland
10,Marketing,Rodriguezville
11,Sales,Christyfurt
12,HR,Carmenport
13,IT,East Amanda
14,HR,Heidimouth
15,Finance,Hillborough
16,IT,Madisonborough
17,IT,East Patrick
18,HR,Christopherville
19,Finance,Butlerhaven
20,Marketing,Jaredport
21,Sales,Stephenton
22,Sales,Brookschester
23,Marketing,Heatherburgh
24,HR,Arieltown
25,HR,West Timothy
26,IT,West Lorishire
27,Sales,Lake Kevin
28,Finance,Timothyside
29,Marketing,Ericview
30,IT,Lauraside
31,Marketing,New Jonathonside
32,HR,Wrightmouth
33,Marketing,Port David
34,IT,Smithhaven
35,Sales,Devinburgh
36,IT,Port Andrewport
37,HR,Port Scott
38,Marketing,Lake Keithtown
39,IT,New Julie
40,Marketing,Lake Jean
41,Marketing,Clayville
42,Finance,Crystalhaven
43,Sales,Patrickfort
44,Sales,Hodgehaven
45,Finance,East Troy
46,IT,Kevintown
47,Marketing,Jasonberg
48,Sales,Alvarezbury
49,Marketing,Williamsonport
50,Finance,Port Paulfort
51,Sales,West Johnchester
52,Sales,Amyport
53,HR,Lopezchester
54,Finance,Smithshire
55,IT,Yeseniabury
56,IT,Kellyshire
57,Sales,East Cynthia
58,Sales,Lake Colinland
59,Sales,Lake Richardport
60,IT,South Daniel
61,IT,West Fredfort
62,HR,Rhondaborough
63,Sales,Lake Lisa
64,Sales,Port Julie
65,HR,Gonzalezfort
66,Sales,South Jon
67,Marketing,Lake Kyle
68,Marketing,Johnsonshire
69,Finance,Harveyberg
70,Finance,Kelliton
71,Sales,East Benjamin
72,HR,North Johnport
73,HR,Janetberg
74,Marketing,Daniellechester
75,IT,South Henry
76,Marketing,West Joannaberg
77,Marketing,Jennifermouth
78,Sales,Spencerview
79,HR,Jonesside
80,HR,Port Jacqueline
81,Sales,Beverlyport
82,Sales,South Feliciafort
83,Marketing,Port George
84,Finance,West Lucasfurt
85,HR,Welchton
86,Sales,West Lorettamouth
87,Marketing,Lake Crystal
88,HR,Erikamouth
89,Sales,Carrollbury
90,IT,Lake Courtney
91,IT,Martineztown
92,Marketing,Bethville
93,IT,South Kimberlyshire
94,Marketing,Ramseystad
95,IT,West Austinstad
96,Sales,Port Yvonneburgh
97,Sales,Jeffreyburgh
98,Finance,South Timothymouth
99,HR,Bowmanville
100,Sales,Lake David
1,Swamy Group,Kurnool
2,Bath-Kota,Shimla
3,Mukhopadhyay-Bhargava,Indore
4,Gade-Bhatnagar,Gopalpur
5,"Kata, Dar and Shanker",Jodhpur
