COUPON_ID,CODE,DISCOUNT_PERCENT,DISCOUNT_AMOUNT,EXPIRATION_DATE,MAX_USES,USES_COUNT
1,Sample description 1,Value_1,3421.35,2024-12-13,Value_1,Value_1
2,Sample description 2,Value_2,235.68,2024-07-22,Value_2,Value_2
3,Sample description 3,Value_3,2182.66,2024-03-12,Value_3,Value_3
4,Sample description 4,Value_4,5547.4,2024-08-07,Value_4,Value_4
5,Sample description 5,Value_5,3128.24,2024-04-18,Value_5,Value_5
6,Sample description 6,Value_6,6565.55,2024-03-15,Value_6,Value_6
7,Sample description 7,Value_7,8457.15,2024-05-27,Value_7,Value_7
8,Sample description 8,Value_8,9779.75,2024-08-04,Value_8,Value_8
9,Sample description 9,Value_9,2983.67,2024-07-01,Value_9,Value_9
10,Sample description 10,Value_10,511.64,2024-01-20,Value_10,Value_10
