ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,TOTAL_AMOUNT,COUPON_ID,SHIPPING_ADDRESS_ID,BILLING_ADDRESS_ID
398.81,4828.26,2024-12-21,pending,266.75,700.1,2942.95,2821.92
2818.11,825.23,2024-01-01,cancelled,4020.49,1583.63,2346.79,541.71
315.46,1324.99,2024-10-25,cancelled,3023.62,1638.3,3707.36,2811.41
2816.74,4977.0,2024-09-17,cancelled,2809.83,4967.2,3165.42,4433.89
3128.96,210.37,2024-10-14,cancelled,1154.86,4888.42,3269.73,3285.66
4724.74,3416.89,2024-07-28,pending,36.95,2538.24,2780.25,4882.95
1326.93,3499.25,2024-03-08,inactive,513.87,3150.82,2883.85,4546.98
1440.53,4079.93,2024-06-18,cancelled,1155.82,3755.25,1270.69,289.36
1990.23,2922.98,2024-07-16,cancelled,4108.86,4505.24,3374.79,282.96
2924.75,3730.28,2024-03-21,inactive,2215.67,2206.94,4299.44,3758.38
